Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
1,1-5-6-7-3-8-0-2-4,0.009776830673217773,87,18,8898.589216475237
2,0-6-8-5-1-2-7-4-3,0.0612640380859375,568,22,9271.344458281445
3,1-8-3-2-4-5-0-7-6,0.19144964218139648,1782,24,9307.930689740198
4,2-4-7-8-5-0-1-6-3,0.0010344982147216797,222,21,214596.7937312745
5,6-0-5-2-4-3-7-1-8,0.0,115,17,11500.0
6,0-2-3-8-6-5-1-4-7,0.0471343994140625,615,22,13047.795403043056
7,1-2-0-5-6-8-7-4-3,0.039319753646850586,513,20,13046.877267021993
8,3-0-8-1-4-5-2-6-7,0.06494569778442383,766,21,11794.468704341378
9,5-8-3-0-2-1-7-6-4,0.22696900367736816,3013,25,13274.940415577266
10,0-8-6-7-1-3-5-2-4,0.08346939086914062,1160,26,13897.309994972808
11,2-7-8-6-4-0-1-5-3,0.2347862720489502,2808,25,11959.813388981127
12,2-0-8-6-7-5-3-4-1,0.1190340518951416,1658,23,13928.787381450733
13,8-2-3-1-6-7-0-5-4,0.26476502418518066,3055,26,11538.533117815768
14,0-8-4-6-2-1-3-7-5,0.13227629661560059,1183,22,8943.40127647993
15,2-1-0-7-8-6-3-4-5,0.2308492660522461,2342,24,10145.148130858495
16,5-1-7-0-8-3-4-2-6,0.01672983169555664,523,23,31261.521903947556
17,5-3-8-0-7-6-1-2-4,0.11738395690917969,1762,25,15010.569130526623
18,5-0-2-6-4-7-8-1-3,0.05863785743713379,540,21,9209.067718392324
19,5-7-0-8-1-4-2-3-6,0.16491961479187012,2240,26,13582.374678881575
20,4-0-1-5-6-3-8-2-7,0.05921363830566406,1094,23,18475.47340956676
21,8-5-6-2-7-1-4-0-3,0.18553614616394043,3664,27,19748.17347322972
22,7-8-1-0-3-5-4-2-6,0.0015532970428466797,164,19,105581.86584804297
23,8-3-0-2-6-1-4-7-5,0.0534818172454834,766,22,14322.624762057605
24,5-1-2-8-7-4-0-3-6,0.14332175254821777,2691,24,18775.935628436207
25,6-7-8-5-1-0-2-4-3,1.0640017986297607,11447,29,10758.440460102265
26,8-3-4-1-5-6-7-0-2,0.20269989967346191,1050,23,5180.071631468445
27,4-2-7-6-8-3-5-0-1,0.07601284980773926,449,21,5906.896020023775
28,1-7-8-2-5-3-4-6-0,0.24046707153320312,1741,24,7240.076526484446
