Puzzle ID,Puzzle,Time Taken,Nodes Explored,Steps to Solution,Nodes per Second
1,1-5-6-7-3-8-0-2-4,0.007269859313964844,84,18,11554.556473829201
2,0-6-8-5-1-2-7-4-3,0.016581058502197266,231,22,13931.559313260288
3,1-8-3-2-4-5-0-7-6,0.13840842247009277,1483,24,10714.665867392903
4,2-4-7-8-5-0-1-6-3,0.026844501495361328,148,21,5513.233316162496
5,6-0-5-2-4-3-7-1-8,0.003034353256225586,70,17,23069.166339278698
6,0-2-3-8-6-5-1-4-7,0.044011831283569336,344,22,7816.0801304449105
7,1-2-0-5-6-8-7-4-3,0.015661239624023438,326,20,20815.72134940933
8,3-0-8-1-4-5-2-6-7,0.002427339553833008,341,21,140483.02367154503
9,5-8-3-0-2-1-7-6-4,0.11234712600708008,1205,25,10725.686030669456
10,0-8-6-7-1-3-5-2-4,0.07194638252258301,1127,26,15664.442887677498
11,2-7-8-6-4-0-1-5-3,0.10007429122924805,1563,25,15618.396900953443
12,2-0-8-6-7-5-3-4-1,0.07527685165405273,1096,23,14559.588717084634
13,8-2-3-1-6-7-0-5-4,0.10984659194946289,1270,26,11561.578538406442
14,0-8-4-6-2-1-3-7-5,0.049645423889160156,726,22,14623.704324106267
15,2-1-0-7-8-6-3-4-5,0.13350892066955566,1433,24,10733.365177498361
16,5-1-7-0-8-3-4-2-6,0.040201663970947266,478,23,11890.055106809476
17,5-3-8-0-7-6-1-2-4,0.10353398323059082,836,25,8074.643454391795
18,5-0-2-6-4-7-8-1-3,0.028690814971923828,303,21,10560.871146271336
19,5-7-0-8-1-4-2-3-6,0.04221487045288086,687,26,16273.88625453231
20,4-0-1-5-6-3-8-2-7,0.0566563606262207,521,23,9195.790097376637
21,8-5-6-2-7-1-4-0-3,0.14389705657958984,1261,27,8763.2091300112
22,7-8-1-0-3-5-4-2-6,0.008055686950683594,47,19,5834.387593228365
23,8-3-0-2-6-1-4-7-5,0.05750632286071777,671,22,11668.282140473219
24,5-1-2-8-7-4-0-3-6,0.18514800071716309,1314,24,7097.0250551465615
25,6-7-8-5-1-0-2-4-3,0.3326873779296875,4259,29,12801.808191533275
26,8-3-4-1-5-6-7-0-2,0.04184842109680176,391,23,9343.24377723971
27,4-2-7-6-8-3-5-0-1,0.048441171646118164,342,21,7060.109992764929
28,1-7-8-2-5-3-4-6-0,0.16328024864196777,1393,24,8531.344186365714
29,4-1-8-0-2-5-3-7-6,0.07378554344177246,558,21,7562.457006775904
30,7-8-5-1-6-3-0-2-4,0.41205286979675293,3087,28,7491.757068753526
31,3-2-6-5-7-0-1-4-8,0.06814885139465332,777,23,11401.512778261736
32,3-8-7-5-2-0-1-6-4,0.06631660461425781,575,23,8670.528344214674
33,0-4-8-1-7-5-3-2-6,0.03296518325805664,188,20,5702.98664892309
34,7-3-0-4-2-5-1-6-8,0.03954625129699707,285,20,7206.751351970531
35,6-3-1-8-4-2-5-0-7,0.013407707214355469,70,17,5220.8777295682485
36,4-1-5-3-7-6-8-2-0,0.02695465087890625,236,20,8755.44636286442
37,3-0-8-1-7-5-4-6-2,0.18357443809509277,1201,23,6542.305194897963
38,0-7-8-3-5-4-1-6-2,0.26793789863586426,2120,26,7912.281206926775
39,2-8-0-6-7-5-4-1-3,0.09823822975158691,825,24,8397.952630927504
40,5-2-4-3-0-8-6-1-7,0.01676321029663086,168,18,10021.94669321576
41,5-1-7-4-8-6-3-0-2,0.020448923110961914,296,21,14475.089880959322
42,6-7-3-2-5-4-0-1-8,0.21325159072875977,1173,26,5500.545135402855
43,2-7-4-8-5-3-0-6-1,0.22592926025390625,2043,26,9042.65342923716
44,0-8-6-4-5-3-1-2-7,0.04774594306945801,550,26,11519.303309181518
45,5-1-3-2-6-0-4-7-8,0.0958404541015625,760,23,7929.845565992677
46,3-0-8-5-7-6-1-2-4,0.32075047492980957,2385,27,7435.686573876201
47,5-4-6-2-3-1-7-0-8,0.0254209041595459,212,21,8339.593220974837
48,6-5-4-1-8-7-3-2-0,0.08008694648742676,1105,24,13797.504443167643
49,4-1-5-6-0-8-3-7-2,0.01696634292602539,498,20,29352.23001039881
50,3-8-5-6-7-2-1-0-4,0.034987688064575195,645,21,18435.05632065636
51,0-8-3-4-5-2-6-7-1,0.013554573059082031,195,20,14386.288609019912
52,7-1-2-6-8-0-3-4-5,0.017005205154418945,263,19,15465.852814581143
53,8-2-3-0-4-5-6-1-7,0.025195837020874023,393,21,15597.814816567152
54,7-3-5-2-1-8-4-0-6,0.005053281784057617,56,17,11081.907242274121
55,6-0-8-4-5-3-1-7-2,0.05000758171081543,1014,25,20276.925324319298
56,7-4-8-5-6-3-0-1-2,0.01777935028076172,323,24,18167.143056375047
57,4-1-2-3-6-8-5-0-7,0.01806807518005371,290,17,16050.409194674266
58,8-3-5-4-1-0-7-2-6,0.14428377151489258,1575,25,10915.988565196556
59,3-0-4-8-7-1-2-6-5,0.030384540557861328,611,23,20108.910280755168
60,2-3-7-5-1-4-6-8-0,0.023158788681030273,445,22,19215.167344417565
61,1-3-0-4-8-2-6-7-5,0.016112327575683594,408,18,25322.22598401894
62,2-6-3-7-4-0-8-1-5,0.0,106,21,10600.0
63,5-6-1-2-3-7-0-8-4,0.07258820533752441,828,24,11406.81183878183
64,4-1-0-7-2-6-3-8-5,0.06133222579956055,471,20,7679.486499304168
65,3-4-8-2-7-6-0-5-1,0.07047510147094727,398,24,5647.384561256318
66,1-5-3-7-4-0-6-8-2,0.061429738998413086,451,19,7341.7209213871265
67,2-5-3-8-6-1-7-4-0,0.14810848236083984,1709,26,11538.839455773552
68,2-6-5-7-1-3-0-8-4,0.0,21,16,2100.0
69,1-2-8-0-5-4-3-6-7,0.0,42,13,4200.0
70,3-7-4-5-8-6-1-0-2,0.015619993209838867,241,21,15428.943967030451
71,1-8-4-2-3-0-5-6-7,0.018077373504638672,319,21,17646.368811162985
72,8-4-5-6-1-0-3-7-2,0.10068106651306152,1941,25,19278.699235354154
73,4-1-0-8-3-5-6-7-2,0.015628814697265625,237,18,15164.297778862583
74,1-7-8-0-6-2-3-4-5,0.017424583435058594,282,19,16184.031087515736
75,0-1-2-3-4-7-5-6-8,0.02046966552734375,269,18,13141.396943719717
76,3-4-7-2-1-8-6-0-5,0.16333985328674316,1729,23,10585.291741169498
77,1-2-7-6-0-8-3-4-5,0.0330662727355957,303,18,9163.415617564353
78,5-2-8-4-6-3-7-1-0,0.10141396522521973,708,24,6981.287029135252
79,4-3-2-6-1-7-0-8-5,0.0,13,10,1300.0
80,3-2-6-5-8-7-4-0-1,0.026880502700805664,212,21,7886.7572663976225
81,6-3-7-8-2-0-4-5-1,0.008172750473022461,117,21,14315.8659237434
82,4-0-3-1-6-8-5-7-2,0.033765316009521484,601,23,17799.329934614678
83,2-4-7-0-5-3-1-6-8,0.03353714942932129,444,21,13239.05005509544
84,3-7-8-1-0-5-4-6-2,0.12799715995788574,1909,24,14914.393418011061
85,1-3-8-0-2-6-7-4-5,0.06008100509643555,624,21,10385.978047444822
86,0-8-3-7-1-4-2-6-5,0.15744328498840332,1591,26,10105.22614614645
87,5-4-2-8-3-6-1-7-0,0.22688746452331543,1352,24,5958.901267818019
88,8-3-2-4-5-6-0-7-1,0.1153862476348877,803,24,6959.234886820328
89,0-8-6-7-2-4-5-1-3,0.025507688522338867,199,26,7801.569312159421
90,2-8-0-7-1-6-4-3-5,0.06590914726257324,777,24,11788.955437468121
91,5-7-3-0-6-2-8-4-1,0.18462896347045898,1749,25,9473.053236741176
92,5-3-6-8-7-0-1-2-4,0.13204383850097656,1152,27,8724.37527625706
93,0-7-3-4-2-6-5-1-8,0.17742681503295898,1494,26,8420.373209779329
94,4-8-6-7-5-0-1-2-3,0.0069048404693603516,53,23,7675.774731535514
95,7-8-2-3-4-0-6-5-1,0.10475778579711914,1133,23,10815.425234304234
96,2-5-0-8-7-4-3-1-6,0.03497767448425293,403,22,11521.63504127274
97,3-0-8-4-7-6-5-2-1,0.14992856979370117,1241,25,8277.274983064217
98,5-4-0-7-8-2-3-6-1,0.15184855461120605,1466,24,9654.355971668978
99,7-5-0-4-2-6-3-8-1,0.015413522720336914,97,20,6293.175269532398
100,6-1-7-2-4-0-3-5-8,0.3586728572845459,2255,25,6287.0662058797525
